cell_type	broad_cell_type	color	stage	assay
cnidocyte	cnidocyte	#EEAEEE	adult	scATAC
gastro_circular_muscle_1	gastro	#85C90E	adult	scATAC
gastro_circular_muscle_2	gastro	#73B009	adult	scATAC
gastro_parietal_muscle	gastro	#8CEB10	adult	scATAC
gastro_unknown_1	gastro	#C1EB05	adult	scATAC
gastro_unknown_2	gastro	#BDE314	adult	scATAC
muscle_1	muscle	#FFD700	adult	scATAC
muscle_2	muscle	#F0E229	adult	scATAC
digestive_filaments_1	digestive_filaments	#E33D3D	adult	scATAC
digestive_filaments_2	digestive_filaments	#D10606	adult	scATAC
digestive_filaments_3	digestive_filaments	#AD0303	adult	scATAC
precursors_1	precursors	#BEBEBE	adult	scATAC
precursors_2	precursors	#8A8686	adult	scATAC
precursors_3	precursors	#636363	adult	scATAC
epidermis_1	epidermis	#04CCD4	adult	scATAC
epidermis_2	epidermis	#06CCD4	adult	scATAC
neuron_GATA_Islet_1	neuron_GATA_Islet	#0C82F7	adult	scATAC
neuron_GATA_Islet_2	neuron_GATA_Islet	#1175F0	adult	scATAC
neuron_GATA_Islet_3	neuron_GATA_Islet	#1E67E6	adult	scATAC
neuron_Pou4_FoxL2_1	neuron_Pou4_FoxL2	#0B16BF	adult	scATAC
neuron_Pou4_FoxL2_2	neuron_Pou4_FoxL2	#101CDE	adult	scATAC
gland	gland	#FF6F08	adult	scATAC
cnidocyte	cnidocyte	#ff42ff	gastrula	scATAC
cnidocyte_precursors	cnidocyte	#f7abf7	gastrula	scATAC
ectoderm_embryonic_oral	ectoderm_embryonic_oral	#5bc0e8	gastrula	scATAC
ectoderm_embryonic	ectoderm	#51a0be	gastrula	scATAC
ectoderm_embryonic_aboral	ectoderm_embryonic_aboral	#045170	gastrula	scATAC
mesendoderm_embryonic	mesendoderm	#bdf5bd	gastrula	scATAC
mesendoderm_ectoderm	mesendoderm	#93dbce	gastrula	scATAC
NPC	NPC	#808d91	gastrula	scATAC
neuronal	neuronal	#063cb9	gastrula	scATAC
gland_mucous	gland	#e09010	gastrula	scATAC
cnidocyte_nematocytes	cnidocyte	#CD96CD	adult	scRNA
cnidocyte_spirocytes	cnidocyte	#EEAEEE	adult	scRNA
cnidocyte_precursor	cnidocyte	#F5CEF5	adult	scRNA
muscle	muscle	#FFD700	adult	scRNA
gastrodermis_muscle_parietal_circular_prog	muscle	#ABFF00	adult	scRNA
gastrodermis_muscle_tentacle_bud_stage	gastro	#72FF00	adult	scRNA
gastrodermis_muscle_somatic_gonad	gastro	#39FF00	adult	scRNA
gastrodermis_muscle_X1	gastro	#00FF00	adult	scRNA
gastrodermis	gastro	#458B00	adult	scRNA
digestive_filaments	digestive_filaments	#CD2626	adult	scRNA
epidermis	epidermis	#00C5CD	adult	scRNA
precursors	precursors	#BEBEBE	adult	scRNA
neuron_1	neuron_GATA_Islet	#0099FF	adult	scRNA
neuron_2_precursors	neuron_GATA_Islet	#0096FC	adult	scRNA
neuron_3_motor	neuron_GATA_Islet	#0093F9	adult	scRNA
neuron_4	neuron_GATA_Islet	#0091F6	adult	scRNA
neuron_5_lwamide	neuron_GATA_Islet	#008EF3	adult	scRNA
neuron_6_peptidergic	neuron_GATA_Islet	#008BF0	adult	scRNA
neuron_7	neuron_GATA_Islet	#0089EE	adult	scRNA
neuron_8	neuron_GATA_Islet	#0086EB	adult	scRNA
neuron_9	neuron_GATA_Islet	#0083E8	adult	scRNA
neuron_10_vasopressin	neuron_GATA_Islet	#0081E5	adult	scRNA
neuron_11	neuron_GATA_Islet	#007EE2	adult	scRNA
neuron_12	neuron_GATA_Islet	#007BDF	adult	scRNA
neuron_13	neuron_GATA_Islet	#0077DE	adult	scRNA
neuron_14_peptidergic	neuron_GATA_Islet	#0070DE	adult	scRNA
neuron_15_insulin	neuron_GATA_Islet	#0069DE	adult	scRNA
neuron_16_peptidergic	neuron_GATA_Islet	#0062DE	adult	scRNA
neuron_17	neuron_GATA_Islet	#005BDE	adult	scRNA
neuron_18	neuron_GATA_Islet	#0054DE	adult	scRNA
neuron_19	neuron_GATA_Islet	#004EDE	adult	scRNA
neuron_20	neuron_GATA_Islet	#0047DE	adult	scRNA
neuron_21	neuron_GATA_Islet	#0040DE	adult	scRNA
neuron_22	neuron_GATA_Islet	#0039DE	adult	scRNA
neuron_23	neuron_GATA_Islet	#0032DE	adult	scRNA
neuron_24	neuron_GATA_Islet	#002BDE	adult	scRNA
neuron_25	neuron_GATA_Islet	#0226DE	adult	scRNA
neuron_28_motor	neuron_Pou4_FoxL2	#101CDE	adult	scRNA
neuron_29	neuron_Pou4_FoxL2	#1418DE	adult	scRNA
neuron_30_peptidergic	neuron_Pou4_FoxL2	#1915DE	adult	scRNA
neuron_31	neuron_Pou4_FoxL2	#1D11DE	adult	scRNA
neuron_32	neuron_Pou4_FoxL2	#220EDE	adult	scRNA
neuron_33	neuron_Pou4_FoxL2	#260ADE	adult	scRNA
neuron_34	neuron_Pou4_FoxL2	#2B07DE	adult	scRNA
neuron_35	neuron_Pou4_FoxL2	#2F03DE	adult	scRNA
neuron_36_peptidergic	neuron_Pou4_FoxL2	#3400DE	adult	scRNA
gland_1	gland	#E84600	adult	scRNA
gland_2	gland	#E84900	adult	scRNA
gland_4	gland	#EA5000	adult	scRNA
gland_8	gland	#EE5E00	adult	scRNA
gland_9	gland	#EF6200	adult	scRNA
gland_10	gland	#EF6500	adult	scRNA
gland_13	gland	#F27000	adult	scRNA
gland_14	gland	#F37400	adult	scRNA
gland_15	gland	#F47700	adult	scRNA
gland_16	gland	#F57B00	adult	scRNA
gland_17	gland	#F67E00	adult	scRNA
gland_18	gland	#F78200	adult	scRNA
gland_19	gland	#F78500	adult	scRNA
gland_20	gland	#F88900	adult	scRNA
gland_21	gland	#F98C00	adult	scRNA
gland_22	gland	#FA9000	adult	scRNA
gland_23	gland	#FB9300	adult	scRNA
gland_24	gland	#FC9700	adult	scRNA
gland_26	gland	#FE9E00	adult	scRNA
gland_27	gland	#FFA200	adult	scRNA
cnidocyte	cnidocyte	#ff42ff	gastrula	scRNA
mesendoderm.embryonic	mesendoderm	#bdf5bd	gastrula	scRNA
ectoderm.epidermis	ectoderm	#9df1f1	gastrula	scRNA
ectoderm.pharyngeal	ectoderm	#50ccf1	gastrula	scRNA
ectoderm.embryonic.oral	ectoderm_embryonic_oral	#5bc0e8	gastrula	scRNA
ectoderm.embryonic	ectoderm	#51a0be	gastrula	scRNA
ectoderm.embryonic.aboral	ectoderm_embryonic_aboral	#045170	gastrula	scRNA
NPC	NPC	#808d91	gastrula	scRNA
neuronal	neuronal	#063cb9	gastrula	scRNA
gland.mucous	gland	#e09010	gastrula	scRNA
